STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,,,PRCP,TMAX,TMIN
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/01,0.2,54,41
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/02,1.41,61,43
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/03,0.91,70,56
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/04,0,65,51
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/05,0,58,32
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/06,0.12,52,40
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/07,1.49,44,30
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/08,0,40,20
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/09,0,43,21
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/10,0,57,27
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/11,0,69,46
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/12,0,76,48
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/13,0,81,48
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/14,0,74,53
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/15,0,78,46
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/16,0,74,54
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/17,0.01,72,51
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/18,0,80,60
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/19,0,75,47
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/20,0,78,52
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/21,0.79,74,58
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/22,0.82,67,57
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/23,0.5,63,46
GHCND:USC00381944,COLUMBIA UNIVERSITY OF SC SC US,73.8,33.99151,-81.02409,2017,01/24,0,66,50
